column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
let step outside see.	it's little chilly, right?	let step outside see.	it's little chilly, right?	let step outside see.	it's little chilly, right?
it's little chilly, right?	yes, is.	it's little chilly, right?	yes, is.	it's little chilly, right?	yes, is.
yes, is.	i'll cap.	yes, is.	i'll cap.	yes, is.	i'll cap.
i'll cap.	wear jacket, too.	i'll cap.	wear jacket, too.	i'll cap.	wear jacket, too.
wear jacket, too.	wonder bring gloves.	wear jacket, too.	wonder bring gloves.	wear jacket, too.	wonder bring gloves.
wonder bring gloves.	maybe should, case gets colder.	wonder bring gloves.	maybe should, case gets colder.	wonder bring gloves.	maybe should, case gets colder.
maybe should, case gets colder.	i'll glove pocket.	maybe should, case gets colder.	i'll glove pocket.	maybe should, case gets colder.	i'll glove pocket.
i'll glove pocket.	we'll warmer walk.	i'll glove pocket.	we'll warmer walk.	i'll glove pocket.	we'll warmer walk.
we'll warmer walk.	yes, gets colder sun goes down.	we'll warmer walk.	yes, gets colder sun goes down.	we'll warmer walk.	yes, gets colder sun goes down.
look car chase tv!	driver crazy.	look car chase tv!	driver crazy.	look car chase tv!	driver crazy.
driver crazy.	can't believe hasn't crashed.	driver crazy.	can't believe hasn't crashed.	driver crazy.	can't believe hasn't crashed.
can't believe hasn't crashed.	fast going?	can't believe hasn't crashed.	fast going?	can't believe hasn't crashed.	fast going?
fast going?	he's going 80 miles hour.	fast going?	he's going 80 miles hour.	fast going?	he's going 80 miles hour.
he's going 80 miles hour.	he's going kill someone.	he's going 80 miles hour.	he's going kill someone.	he's going 80 miles hour.	he's going kill someone.
he's going kill someone.	look! hit car.	he's going kill someone.	look! hit car.	he's going kill someone.	look! hit car.
look! hit car.	oh, goodness. safe streets.	look! hit car.	oh, goodness. safe streets.	look! hit car.	oh, goodness. safe streets.
oh, goodness. safe streets.	he's slowing down.	oh, goodness. safe streets.	he's slowing down.	oh, goodness. safe streets.	he's slowing down.
he's slowing down.	maybe ran gas.	he's slowing down.	maybe ran gas.	he's slowing down.	maybe ran gas.
maybe ran gas.	look! got car started running.	maybe ran gas.	look! got car started running.	maybe ran gas.	look! got car started running.
look! got car started running.	hope police catch him.	look! got car started running.	hope police catch him.	look! got car started running.	hope police catch him.
tv news stupid.	shouldn't news.	tv news stupid.	shouldn't news.	tv news stupid.	shouldn't news.
shouldn't news.	night told cat sofa.	shouldn't news.	night told cat sofa.	shouldn't news.	night told cat sofa.
night told cat sofa.	yesterday told dog pipe.	night told cat sofa.	yesterday told dog pipe.	night told cat sofa.	yesterday told dog pipe.
yesterday told dog pipe.	week told bear yard.	yesterday told dog pipe.	week told bear yard.	yesterday told dog pipe.	week told bear yard.
week told bear yard.	month told mouse restaurant.	week told bear yard.	month told mouse restaurant.	week told bear yard.	month told mouse restaurant.
month told mouse restaurant.	weatherman tells temperature town.	month told mouse restaurant.	weatherman tells temperature town.	month told mouse restaurant.	weatherman tells temperature town.
weatherman tells temperature town.	sports guy shows players fighting.	weatherman tells temperature town.	sports guy shows players fighting.	weatherman tells temperature town.	sports guy shows players fighting.
sports guy shows players fighting.	"tell ""what's next."""	sports guy shows players fighting.	"tell ""what's next."""	sports guy shows players fighting.	"tell ""what's next."""
"tell ""what's next."""	"""what's next"" sound exciting, is."	"tell ""what's next."""	"""what's next"" sound exciting, is."	"tell ""what's next."""	"""what's next"" sound exciting, is."
"""what's next"" sound exciting, is."	it's like news kids.	"""what's next"" sound exciting, is."	it's like news kids.	"""what's next"" sound exciting, is."	it's like news kids.
it's like news kids.	kid reporters.	it's like news kids.	kid reporters.	it's like news kids.	kid reporters.
love computer.	computers cool.	love computer.	computers cool.	love computer.	computers cool.
computers cool.	love online.	computers cool.	love online.	computers cool.	love online.
love online.	internet amazing.	love online.	internet amazing.	love online.	internet amazing.
internet amazing.	travel world.	internet amazing.	travel world.	internet amazing.	travel world.
travel world.	know. went china yesterday.	travel world.	know. went china yesterday.	travel world.	know. went china yesterday.
know. went china yesterday.	do?	know. went china yesterday.	do?	know. went china yesterday.	do?
do?	stood great wall looked around.	do?	stood great wall looked around.	do?	stood great wall looked around.
stood great wall looked around.	like?	stood great wall looked around.	like?	stood great wall looked around.	like?
like?	like real thing.	like?	like real thing.	like?	like real thing.
like real thing.	like there?	like real thing.	like there?	like real thing.	like there?
like there?	yes, felt like actually there.	like there?	yes, felt like actually there.	like there?	yes, felt like actually there.
beatles best.	best musical group ever.	beatles best.	best musical group ever.	beatles best.	best musical group ever.
best musical group ever.	love songs.	best musical group ever.	love songs.	best musical group ever.	love songs.
love songs.	don't know like best.	love songs.	don't know like best.	love songs.	don't know like best.
don't know like best.	like ones sing with.	don't know like best.	like ones sing with.	don't know like best.	like ones sing with.
like ones sing with.	"i, like ""she loves you."""	like ones sing with.	"i, like ""she loves you."""	like ones sing with.	"i, like ""she loves you."""
"i, like ""she loves you."""	loves you, yeah, yeah, yeah!...	"i, like ""she loves you."""	loves you, yeah, yeah, yeah!...	"i, like ""she loves you."""	loves you, yeah, yeah, yeah!...
loves you, yeah, yeah, yeah!...	know glad!	loves you, yeah, yeah, yeah!...	know glad!	loves you, yeah, yeah, yeah!...	know glad!
know glad!	great song.	know glad!	great song.	know glad!	great song.
great song.	"""let be?"""	great song.	"""let be?"""	great song.	"""let be?"""
"""let be?"""	"oh, yes! ""let be, let"	"""let be?"""	"oh, yes! ""let be, let"	"""let be?"""	"oh, yes! ""let be, let"
"oh, yes! ""let be, let"	answer, let be!	"oh, yes! ""let be, let"	answer, let be!	"oh, yes! ""let be, let"	answer, let be!
let's movie.	i'd not.	let's movie.	i'd not.	let's movie.	i'd not.
i'd not.	not?	i'd not.	not?	i'd not.	not?
not?	know don't like crowds.	not?	know don't like crowds.	not?	know don't like crowds.
know don't like crowds.	let's early movie.	know don't like crowds.	let's early movie.	know don't like crowds.	let's early movie.
let's early movie.	okay, won't crowded.	let's early movie.	okay, won't crowded.	let's early movie.	okay, won't crowded.
okay, won't crowded.	like see?	okay, won't crowded.	like see?	okay, won't crowded.	like see?
like see?	oh, don't care. you're wants out.	like see?	oh, don't care. you're wants out.	like see?	oh, don't care. you're wants out.
oh, don't care. you're wants out.	"well, want ""the pursuit happyness."""	oh, don't care. you're wants out.	"well, want ""the pursuit happyness."""	oh, don't care. you're wants out.	"well, want ""the pursuit happyness."""
"well, want ""the pursuit happyness."""	heard it?	"well, want ""the pursuit happyness."""	heard it?	"well, want ""the pursuit happyness."""	heard it?
heard it?	it's based true story divorced man young son.	heard it?	it's based true story divorced man young son.	heard it?	it's based true story divorced man young son.
it's based true story divorced man young son.	well, hope happy ending.	it's based true story divorced man young son.	well, hope happy ending.	it's based true story divorced man young son.	well, hope happy ending.
what's favorite thing do?	like watch people.	what's favorite thing do?	like watch people.	what's favorite thing do?	like watch people.
like watch people.	that's favorite thing do?	like watch people.	that's favorite thing do?	like watch people.	that's favorite thing do?
that's favorite thing do?	well, it's them.	that's favorite thing do?	well, it's them.	that's favorite thing do?	well, it's them.
well, it's them.	watch people?	well, it's them.	watch people?	well, it's them.	watch people?
watch people?	girlfriend sit outside starbucks.	watch people?	girlfriend sit outside starbucks.	watch people?	girlfriend sit outside starbucks.
girlfriend sit outside starbucks.	sounds like good spot.	girlfriend sit outside starbucks.	sounds like good spot.	girlfriend sit outside starbucks.	sounds like good spot.
sounds like good spot.	watch people walk dogs.	sounds like good spot.	watch people walk dogs.	sounds like good spot.	watch people walk dogs.
watch people walk dogs.	guess lots different dogs.	watch people walk dogs.	guess lots different dogs.	watch people walk dogs.	guess lots different dogs.
guess lots different dogs.	don't know kind are.	guess lots different dogs.	don't know kind are.	guess lots different dogs.	don't know kind are.
don't know kind are.	lots different kinds, thing common.	don't know kind are.	lots different kinds, thing common.	don't know kind are.	lots different kinds, thing common.
lots different kinds, thing common.	yes, love sniff meet.	lots different kinds, thing common.	yes, love sniff meet.	lots different kinds, thing common.	yes, love sniff meet.
father dollar bill.	yes, tv news today.	father dollar bill.	yes, tv news today.	father dollar bill.	yes, tv news today.
yes, tv news today.	easter sunday gives away money.	yes, tv news today.	easter sunday gives away money.	yes, tv news today.	easter sunday gives away money.
easter sunday gives away money.	money?	easter sunday gives away money.	money?	easter sunday gives away money.	money?
money?	no. movie stars money homeless people.	money?	no. movie stars money homeless people.	money?	no. movie stars money homeless people.
no. movie stars money homeless people.	money away?	no. movie stars money homeless people.	money away?	no. movie stars money homeless people.	money away?
money away?	year gave away $15,000.	money away?	year gave away $15,000.	money away?	year gave away $15,000.
year gave away $15,000.	that's lot money.	year gave away $15,000.	that's lot money.	year gave away $15,000.	that's lot money.
that's lot money.	gave $100 people wheelchairs.	that's lot money.	gave $100 people wheelchairs.	that's lot money.	gave $100 people wheelchairs.
gave $100 people wheelchairs.	homeless people?	gave $100 people wheelchairs.	homeless people?	gave $100 people wheelchairs.	homeless people?
homeless people?	got $1 each.	homeless people?	got $1 each.	homeless people?	got $1 each.
got $1 each.	people stood line dollar?!	got $1 each.	people stood line dollar?!	got $1 each.	people stood line dollar?!
old movies best.	they're black white.	old movies best.	they're black white.	old movies best.	they're black white.
they're black white.	good story important color.	they're black white.	good story important color.	they're black white.	good story important color.
good story important color.	actors didn't curse then.	good story important color.	actors didn't curse then.	good story important color.	actors didn't curse then.
actors didn't curse then.	violence.	actors didn't curse then.	violence.	actors didn't curse then.	violence.
violence.	people today don't like that.	violence.	people today don't like that.	violence.	people today don't like that.
people today don't like that.	no, today people like lots action.	people today don't like that.	no, today people like lots action.	people today don't like that.	no, today people like lots action.
no, today people like lots action.	like good story.	no, today people like lots action.	like good story.	no, today people like lots action.	like good story.
like good story.	like actors like real people.	like good story.	like actors like real people.	like good story.	like actors like real people.
like actors like real people.	like real people real problems.	like actors like real people.	like real people real problems.	like actors like real people.	like real people real problems.
like real people real problems.	movies like that.	like real people real problems.	movies like that.	like real people real problems.	movies like that.
movies like that.	yes, money.	movies like that.	yes, money.	movies like that.	yes, money.
pbs tv?	yes, everybody gets public broadcasting system.	pbs tv?	yes, everybody gets public broadcasting system.	pbs tv?	yes, everybody gets public broadcasting system.
yes, everybody gets public broadcasting system.	puts sleep.	yes, everybody gets public broadcasting system.	puts sleep.	yes, everybody gets public broadcasting system.	puts sleep.
puts sleep.	tell it.	puts sleep.	tell it.	puts sleep.	tell it.
tell it.	gardening follows knitting show.	tell it.	gardening follows knitting show.	tell it.	gardening follows knitting show.
gardening follows knitting show.	cooking follows sewing show.	gardening follows knitting show.	cooking follows sewing show.	gardening follows knitting show.	cooking follows sewing show.
cooking follows sewing show.	travel follows travel show.	cooking follows sewing show.	travel follows travel show.	cooking follows sewing show.	travel follows travel show.
travel follows travel show.	i'll say! i've gone world dozen times already!	travel follows travel show.	i'll say! i've gone world dozen times already!	travel follows travel show.	i'll say! i've gone world dozen times already!
i'll say! i've gone world dozen times already!	they're adding old tv shows old movies.	i'll say! i've gone world dozen times already!	they're adding old tv shows old movies.	i'll say! i've gone world dozen times already!	they're adding old tv shows old movies.
they're adding old tv shows old movies.	sure like interesting change.	they're adding old tv shows old movies.	sure like interesting change.	they're adding old tv shows old movies.	sure like interesting change.
sure like interesting change.	people donate money, pbs offer new shows.	sure like interesting change.	people donate money, pbs offer new shows.	sure like interesting change.	people donate money, pbs offer new shows.
people donate money, pbs offer new shows.	wants donate? public tv free.	people donate money, pbs offer new shows.	wants donate? public tv free.	people donate money, pbs offer new shows.	wants donate? public tv free.
"love watch ""judge judy."""	tv show?	"love watch ""judge judy."""	tv show?	"love watch ""judge judy."""	tv show?
tv show?	yes. it's afternoon.	tv show?	yes. it's afternoon.	tv show?	yes. it's afternoon.
yes. it's afternoon.	what's good it?	yes. it's afternoon.	what's good it?	yes. it's afternoon.	what's good it?
what's good it?	interesting lawsuits.	what's good it?	interesting lawsuits.	what's good it?	interesting lawsuits.
interesting lawsuits.	as?	interesting lawsuits.	as?	interesting lawsuits.	as?
as?	yesterday, woman complained cell phone bought ebay.	as?	yesterday, woman complained cell phone bought ebay.	as?	yesterday, woman complained cell phone bought ebay.
yesterday, woman complained cell phone bought ebay.	wrong phone?	yesterday, woman complained cell phone bought ebay.	wrong phone?	yesterday, woman complained cell phone bought ebay.	wrong phone?
wrong phone?	works canada.	wrong phone?	works canada.	wrong phone?	works canada.
works canada.	seller know that?	works canada.	seller know that?	works canada.	seller know that?
seller know that?	yes, didn't tell buyer.	seller know that?	yes, didn't tell buyer.	seller know that?	yes, didn't tell buyer.
yes, didn't tell buyer.	hope judge judy seller phone back.	yes, didn't tell buyer.	hope judge judy seller phone back.	yes, didn't tell buyer.	hope judge judy seller phone back.
woman good singer.	yes, looks like man.	woman good singer.	yes, looks like man.	woman good singer.	yes, looks like man.
yes, looks like man.	difference make?	yes, looks like man.	difference make?	yes, looks like man.	difference make?
difference make?	female singers supposed pretty.	difference make?	female singers supposed pretty.	difference make?	female singers supposed pretty.
female singers supposed pretty.	singers supposed sound good.	female singers supposed pretty.	singers supposed sound good.	female singers supposed pretty.	singers supposed sound good.
singers supposed sound good.	look good, too.	singers supposed sound good.	look good, too.	singers supposed sound good.	look good, too.
look good, too.	lots ugly men singers.	look good, too.	lots ugly men singers.	look good, too.	lots ugly men singers.
lots ugly men singers.	men singers don't look good.	lots ugly men singers.	men singers don't look good.	lots ugly men singers.	men singers don't look good.
men singers don't look good.	women singers.	men singers don't look good.	women singers.	men singers don't look good.	women singers.
women singers.	well, buy cd.	women singers.	well, buy cd.	women singers.	well, buy cd.
well, buy cd.	buy cd pretty?	well, buy cd.	buy cd pretty?	well, buy cd.	buy cd pretty?
buy cd pretty?	yes. buy cds.	buy cd pretty?	yes. buy cds.	buy cd pretty?	yes. buy cds.
tv stations going digital.	yes, occur month.	tv stations going digital.	yes, occur month.	tv stations going digital.	yes, occur month.
yes, occur month.	broadcasting digital.	yes, occur month.	broadcasting digital.	yes, occur month.	broadcasting digital.
broadcasting digital.	digital signal clear.	broadcasting digital.	digital signal clear.	broadcasting digital.	digital signal clear.
digital signal clear.	oh, no, isn't!	digital signal clear.	oh, no, isn't!	digital signal clear.	oh, no, isn't!
oh, no, isn't!	mean?	oh, no, isn't!	mean?	oh, no, isn't!	mean?
mean?	can't single channel.	mean?	can't single channel.	mean?	can't single channel.
can't single channel.	digital tv?	can't single channel.	digital tv?	can't single channel.	digital tv?
digital tv?	course. don't cable.	digital tv?	course. don't cable.	digital tv?	course. don't cable.
course. don't cable.	don't need cable, need good antenna.	course. don't cable.	don't need cable, need good antenna.	course. don't cable.	don't need cable, need good antenna.
don't need cable, need good antenna.	rabbit ears.	don't need cable, need good antenna.	rabbit ears.	don't need cable, need good antenna.	rabbit ears.
rabbit ears.	rabbit ears aren't strong enough. buy digital antenna.	rabbit ears.	rabbit ears aren't strong enough. buy digital antenna.	rabbit ears.	rabbit ears aren't strong enough. buy digital antenna.
i've got date you.	oh, really?	i've got date you.	oh, really?	i've got date you.	oh, really?
oh, really?	interested?	oh, really?	interested?	oh, really?	interested?
interested?	maybe. like?	interested?	maybe. like?	interested?	maybe. like?
maybe. like?	she's got great personality.	maybe. like?	she's got great personality.	maybe. like?	she's got great personality.
she's got great personality.	uh-oh. means she's fat ugly.	she's got great personality.	uh-oh. means she's fat ugly.	she's got great personality.	uh-oh. means she's fat ugly.
uh-oh. means she's fat ugly.	she's cute.	uh-oh. means she's fat ugly.	she's cute.	uh-oh. means she's fat ugly.	she's cute.
she's cute.	okay, she's ugly; she's fat.	she's cute.	okay, she's ugly; she's fat.	she's cute.	okay, she's ugly; she's fat.
okay, she's ugly; she's fat.	weighs 98 pounds.	okay, she's ugly; she's fat.	weighs 98 pounds.	okay, she's ugly; she's fat.	weighs 98 pounds.
weighs 98 pounds.	okay, she's fat. what's problem her?	weighs 98 pounds.	okay, she's fat. what's problem her?	weighs 98 pounds.	okay, she's fat. what's problem her?
okay, she's fat. what's problem her?	said problem her?	okay, she's fat. what's problem her?	said problem her?	okay, she's fat. what's problem her?	said problem her?
said problem her?	problem problemsshe's good me!	said problem her?	problem problemsshe's good me!	said problem her?	problem problemsshe's good me!
think you're pretty.	thank you.	think you're pretty.	thank you.	think you're pretty.	thank you.
thank you.	dinner me?	thank you.	dinner me?	thank you.	dinner me?
dinner me?	like to.	dinner me?	like to.	dinner me?	like to.
like to.	pick friday night?	like to.	pick friday night?	like to.	pick friday night?
pick friday night?	time?	pick friday night?	time?	pick friday night?	time?
time?	o'clock.	time?	o'clock.	time?	o'clock.
o'clock.	sounds great.	o'clock.	sounds great.	o'clock.	sounds great.
sounds great.	we'll french restaurant.	sounds great.	we'll french restaurant.	sounds great.	we'll french restaurant.
we'll french restaurant.	i've french restaurant.	we'll french restaurant.	i've french restaurant.	we'll french restaurant.	i've french restaurant.
i've french restaurant.	think you'll love food.	i've french restaurant.	think you'll love food.	i've french restaurant.	think you'll love food.
think you'll love food.	i'm going eat snails!	think you'll love food.	i'm going eat snails!	think you'll love food.	i'm going eat snails!
pretty eyes.	thank you. you.	pretty eyes.	thank you. you.	pretty eyes.	thank you. you.
thank you. you.	wish eyes blue.	thank you. you.	wish eyes blue.	thank you. you.	wish eyes blue.
wish eyes blue.	what's matter green eyes?	wish eyes blue.	what's matter green eyes?	wish eyes blue.	what's matter green eyes?
what's matter green eyes?	nothing, favorite color blue.	what's matter green eyes?	nothing, favorite color blue.	what's matter green eyes?	nothing, favorite color blue.
nothing, favorite color blue.	maybe life you'll blue eyes.	nothing, favorite color blue.	maybe life you'll blue eyes.	nothing, favorite color blue.	maybe life you'll blue eyes.
maybe life you'll blue eyes.	i'm fish life?	maybe life you'll blue eyes.	i'm fish life?	maybe life you'll blue eyes.	i'm fish life?
i'm fish life?	think fish blue eyes.	i'm fish life?	think fish blue eyes.	i'm fish life?	think fish blue eyes.
think fish blue eyes.	hope don't come fish.	think fish blue eyes.	hope don't come fish.	think fish blue eyes.	hope don't come fish.
hope don't come fish.	hope come cat.	hope don't come fish.	hope come cat.	hope don't come fish.	hope come cat.
hope come cat.	cats beautiful eyes.	hope come cat.	cats beautiful eyes.	hope come cat.	cats beautiful eyes.
cats beautiful eyes.	love blue cat-eyes.	cats beautiful eyes.	love blue cat-eyes.	cats beautiful eyes.	love blue cat-eyes.
love you.	love you, too.	love you.	love you, too.	love you.	love you, too.
love you, too.	loved day saw you.	love you, too.	loved day saw you.	love you, too.	loved day saw you.
loved day saw you.	love sight?	loved day saw you.	love sight?	loved day saw you.	love sight?
love sight?	yes, love sight.	love sight?	yes, love sight.	love sight?	yes, love sight.
yes, love sight.	didn't love first.	yes, love sight.	didn't love first.	yes, love sight.	didn't love first.
didn't love first.	know. chase while.	didn't love first.	know. chase while.	didn't love first.	know. chase while.
know. chase while.	yes, chased caught me.	know. chase while.	yes, chased caught me.	know. chase while.	yes, chased caught me.
yes, chased caught me.	you're forever.	yes, chased caught me.	you're forever.	yes, chased caught me.	you're forever.
you're forever.	you're forever.	you're forever.	you're forever.	you're forever.	you're forever.
you're forever.	we'll grow old together.	you're forever.	we'll grow old together.	you're forever.	we'll grow old together.
we'll grow old together.	happy together.	we'll grow old together.	happy together.	we'll grow old together.	happy together.
i'm love girl.	told her?	i'm love girl.	told her?	i'm love girl.	told her?
told her?	course not.	told her?	course not.	told her?	course not.
course not.	not?	course not.	not?	course not.	not?
not?	laugh me.	not?	laugh me.	not?	laugh me.
laugh me.	know?	laugh me.	know?	laugh me.	know?
know?	do.	know?	do.	know?	do.
do.	maybe she's different.	do.	maybe she's different.	do.	maybe she's different.
maybe she's different.	they're same.	maybe she's different.	they're same.	maybe she's different.	they're same.
they're same.	ask dinner.	they're same.	ask dinner.	they're same.	ask dinner.
ask dinner.	what?	ask dinner.	what?	ask dinner.	what?
what?	she'll know like her.	what?	she'll know like her.	what?	she'll know like her.
hug.	i'm mood.	hug.	i'm mood.	hug.	i'm mood.
i'm mood.	what's matter?	i'm mood.	what's matter?	i'm mood.	what's matter?
what's matter?	saw looking woman.	what's matter?	saw looking woman.	what's matter?	saw looking woman.
saw looking woman.	woman?	saw looking woman.	woman?	saw looking woman.	woman?
woman?	know, woman big boobs.	woman?	know, woman big boobs.	woman?	know, woman big boobs.
know, woman big boobs.	looking her.	know, woman big boobs.	looking her.	know, woman big boobs.	looking her.
looking her.	were, too.	looking her.	were, too.	looking her.	were, too.
were, too.	i'm interested her.	were, too.	i'm interested her.	were, too.	i'm interested her.
i'm interested her.	looking her?	i'm interested her.	looking her?	i'm interested her.	looking her?
looking her?	looking else.	looking her?	looking else.	looking her?	looking else.
looking else.	oh, really? spend tonight looking sofa.	looking else.	oh, really? spend tonight looking sofa.	looking else.	oh, really? spend tonight looking sofa.
like blind date?	joking.	like blind date?	joking.	like blind date?	joking.
joking.	no, i'm serious.	joking.	no, i'm serious.	joking.	no, i'm serious.
no, i'm serious.	don't want date blind woman.	no, i'm serious.	don't want date blind woman.	no, i'm serious.	don't want date blind woman.
don't want date blind woman.	blind date doesn't mean blind!	don't want date blind woman.	blind date doesn't mean blind!	don't want date blind woman.	blind date doesn't mean blind!
blind date doesn't mean blind!	mean?	blind date doesn't mean blind!	mean?	blind date doesn't mean blind!	mean?
mean?	blind date date don't know.	mean?	blind date date don't know.	mean?	blind date date don't know.
blind date date don't know.	date don't know?	blind date date don't know.	date don't know?	blind date date don't know.	date don't know?
date don't know?	try new exciting.	date don't know?	try new exciting.	date don't know?	try new exciting.
try new exciting.	don't like her?	try new exciting.	don't like her?	try new exciting.	don't like her?
don't like her?	don't date again.	don't like her?	don't date again.	don't like her?	don't date again.
date tomorrow night.	really? with?	date tomorrow night.	really? with?	date tomorrow night.	really? with?
really? with?	girl met market.	really? with?	girl met market.	really? with?	girl met market.
girl met market.	met girl supermarket?	girl met market.	met girl supermarket?	girl met market.	met girl supermarket?
met girl supermarket?	standing slow line checkout counter.	met girl supermarket?	standing slow line checkout counter.	met girl supermarket?	standing slow line checkout counter.
standing slow line checkout counter.	her?	standing slow line checkout counter.	her?	standing slow line checkout counter.	her?
her?	pineapples cart, asked found them.	her?	pineapples cart, asked found them.	her?	pineapples cart, asked found them.
pineapples cart, asked found them.	asked pineapples?	pineapples cart, asked found them.	asked pineapples?	pineapples cart, asked found them.	asked pineapples?
asked pineapples?	told gotten shelf, offered mine.	asked pineapples?	told gotten shelf, offered mine.	asked pineapples?	told gotten shelf, offered mine.
told gotten shelf, offered mine.	nice you.	told gotten shelf, offered mine.	nice you.	told gotten shelf, offered mine.	nice you.
nice you.	asked return favor, asked out.	nice you.	asked return favor, asked out.	nice you.	asked return favor, asked out.
asked return favor, asked out.	slow line good thing.	asked return favor, asked out.	slow line good thing.	asked return favor, asked out.	slow line good thing.
date friday night?	yes, fact, did.	date friday night?	yes, fact, did.	date friday night?	yes, fact, did.
yes, fact, did.	with?	yes, fact, did.	with?	yes, fact, did.	with?
with?	man met coffee shop.	with?	man met coffee shop.	with?	man met coffee shop.
man met coffee shop.	go?	man met coffee shop.	go?	man met coffee shop.	go?
go?	went nice restaurant.	go?	went nice restaurant.	go?	went nice restaurant.
went nice restaurant.	else?	went nice restaurant.	else?	went nice restaurant.	else?
else?	went jazz club.	else?	went jazz club.	else?	went jazz club.
went jazz club.	sounds like nice date.	went jazz club.	sounds like nice date.	went jazz club.	sounds like nice date.
sounds like nice date.	yes, pleasant.	sounds like nice date.	yes, pleasant.	sounds like nice date.	yes, pleasant.
yes, pleasant.	won't date again?	yes, pleasant.	won't date again?	yes, pleasant.	won't date again?
won't date again?	no. nice, chemistry.	won't date again?	no. nice, chemistry.	won't date again?	no. nice, chemistry.
worst date night.	happened?	worst date night.	happened?	worst date night.	happened?
happened?	all, half hour late.	happened?	all, half hour late.	happened?	all, half hour late.
all, half hour late.	that's good start.	all, half hour late.	that's good start.	all, half hour late.	that's good start.
that's good start.	didn't bother apologize.	that's good start.	didn't bother apologize.	that's good start.	didn't bother apologize.
didn't bother apologize.	that's rude.	didn't bother apologize.	that's rude.	didn't bother apologize.	that's rude.
that's rude.	drove fast restaurant.	that's rude.	drove fast restaurant.	that's rude.	drove fast restaurant.
drove fast restaurant.	that's dangerous.	drove fast restaurant.	that's dangerous.	drove fast restaurant.	that's dangerous.
that's dangerous.	thought getting taking taxi home.	that's dangerous.	thought getting taking taxi home.	that's dangerous.	thought getting taking taxi home.
thought getting taking taxi home.	happened restaurant?	thought getting taking taxi home.	happened restaurant?	thought getting taking taxi home.	happened restaurant?
happened restaurant?	$40 meal, left $1 tip!	happened restaurant?	$40 meal, left $1 tip!	happened restaurant?	$40 meal, left $1 tip!
$40 meal, left $1 tip!	guess can't restaurant.	$40 meal, left $1 tip!	guess can't restaurant.	$40 meal, left $1 tip!	guess can't restaurant.
don't like man.	not?	don't like man.	not?	don't like man.	not?
not?	he's dirty old man.	not?	he's dirty old man.	not?	he's dirty old man.
he's dirty old man.	mean?	he's dirty old man.	mean?	he's dirty old man.	mean?
mean?	he's old father, asked out.	mean?	he's old father, asked out.	mean?	he's old father, asked out.
he's old father, asked out.	well, can't blame man asking.	he's old father, asked out.	well, can't blame man asking.	he's old father, asked out.	well, can't blame man asking.
well, can't blame man asking.	act age.	well, can't blame man asking.	act age.	well, can't blame man asking.	act age.
act age.	lot old people interested dating.	act age.	lot old people interested dating.	act age.	lot old people interested dating.
lot old people interested dating.	find nice hobby.	lot old people interested dating.	find nice hobby.	lot old people interested dating.	find nice hobby.
find nice hobby.	wait you're 50 years old.	find nice hobby.	wait you're 50 years old.	find nice hobby.	wait you're 50 years old.
wait you're 50 years old.	dating furthest thing mind.	wait you're 50 years old.	dating furthest thing mind.	wait you're 50 years old.	dating furthest thing mind.
dating furthest thing mind.	that's now. wait till you're 50.	dating furthest thing mind.	that's now. wait till you're 50.	dating furthest thing mind.	that's now. wait till you're 50.
girlfriend angry?	sometimes.	girlfriend angry?	sometimes.	girlfriend angry?	sometimes.
sometimes.	do?	sometimes.	do?	sometimes.	do?
do?	yesterday, told wouldn't trade money world.	do?	yesterday, told wouldn't trade money world.	do?	yesterday, told wouldn't trade money world.
yesterday, told wouldn't trade money world.	nice thing say.	yesterday, told wouldn't trade money world.	nice thing say.	yesterday, told wouldn't trade money world.	nice thing say.
nice thing say.	that's thought.	nice thing say.	that's thought.	nice thing say.	that's thought.
that's thought.	say?	that's thought.	say?	that's thought.	say?
say?	laughed! didn't believe me.	say?	laughed! didn't believe me.	say?	laughed! didn't believe me.
laughed! didn't believe me.	wasn't nice her.	laughed! didn't believe me.	wasn't nice her.	laughed! didn't believe me.	wasn't nice her.
wasn't nice her.	said important money.	wasn't nice her.	said important money.	wasn't nice her.	said important money.
said important money.	say?	said important money.	say?	said important money.	say?
say?	told wouldn't trade woman world.	say?	told wouldn't trade woman world.	say?	told wouldn't trade woman world.
people good noses.	wish good nose. way big.	people good noses.	wish good nose. way big.	people good noses.	wish good nose. way big.
wish good nose. way big.	don't mean good-looking. mean good-smelling.	wish good nose. way big.	don't mean good-looking. mean good-smelling.	wish good nose. way big.	don't mean good-looking. mean good-smelling.
don't mean good-looking. mean good-smelling.	oh. curse.	don't mean good-looking. mean good-smelling.	oh. curse.	don't mean good-looking. mean good-smelling.	oh. curse.
oh. curse.	yes, sensitive odors.	oh. curse.	yes, sensitive odors.	oh. curse.	yes, sensitive odors.
yes, sensitive odors.	i'll say. girlfriend nose like drug dog.	yes, sensitive odors.	i'll say. girlfriend nose like drug dog.	yes, sensitive odors.	i'll say. girlfriend nose like drug dog.
i'll say. girlfriend nose like drug dog.	catch drugs?	i'll say. girlfriend nose like drug dog.	catch drugs?	i'll say. girlfriend nose like drug dog.	catch drugs?
catch drugs?	sort of. knows sneak cigarette.	catch drugs?	sort of. knows sneak cigarette.	catch drugs?	sort of. knows sneak cigarette.
